time,seconds_elapsed,bpm
1712625578227296300,80.92529614257812,98
1712625580227296300,82.92529614257812,99
1712625598227296300,100.92529614257812,95
1712625600227296300,102.92529614257812,97
1712625613227296300,115.92529614257812,97
1712625615227296300,117.92529614257812,100
1712625619227296300,121.92529614257812,100
1712625626227296300,128.92529614257813,102
1712625629227296300,131.92529614257813,103
1712625636227296300,138.92529614257813,95
1712625641227296300,143.92529614257813,99
1712625658227296300,160.92529614257813,106
1712625663227296300,165.92529614257813,107.00000000000001
1712625668227296300,170.92529614257813,110
1712625673227296300,175.92529614257813,112
1712625674227296300,176.92529614257813,111
1712625683227296300,185.92529614257813,111
1712625685227296300,187.92529614257813,110
1712625691227296300,193.92529614257813,111
1712625698227296300,200.92529614257813,112
1712625700227296300,202.92529614257813,113
1712625705227296300,207.92529614257813,110
1712625710227296300,212.92529614257813,110
1712625717227296300,219.92529614257813,107.00000000000001
1712625720227296300,222.92529614257813,105
1712625727227296300,229.92529614257813,102
1712625729227296300,231.92529614257813,104
1712625738227296300,240.92529614257813,105
1712625742227296300,244.92529614257813,104
1712625744227296300,246.92529614257813,105
1712625753227296300,255.92529614257813,103
1712625754227296300,256.92529614257813,103
1712625759227296300,261.92529614257813,102
1712625764227296300,266.92529614257813,104
1712625770227296300,272.92529614257813,104
1712625778227296300,280.92529614257813,103
1712625779227296300,281.92529614257813,104
1712625784227296300,286.92529614257813,107.00000000000001
1712625825227296300,327.92529614257813,109
1712625829227296300,331.92529614257813,108
1712625836227296300,338.92529614257813,108
1712625840227296300,342.92529614257813,108
1712625848227296300,350.92529614257813,108
1712625853227296300,355.92529614257813,101
1712625855227296300,357.92529614257813,101
1712625861227296300,363.92529614257813,103
1712625864227296300,366.92529614257813,104
1712625871227296300,373.92529614257813,106
1712625874227296300,376.92529614257813,108
1712625880227296300,382.92529614257813,106
1712625887227296300,389.92529614257813,105
1712625892227296300,394.92529614257813,106
1712625898227296300,400.92529614257813,103
1712625902227296300,404.92529614257813,101
1712625907227296300,409.92529614257813,101
1712625909227296300,411.92529614257813,101
1712625917227296300,419.92529614257813,99
1712625919227296300,421.92529614257813,99
1712625924227296300,426.92529614257813,98
1712625929227296300,431.92529614257813,98
1712625937227296300,439.92529614257813,98
1712625939227296300,441.92529614257813,97
1712625948227296500,450.92529663085935,96
1712625953227296300,455.92529614257813,93
1712625954227296300,456.92529614257813,93
1712625961227296300,463.92529614257813,94
1712625968227296500,470.92529663085935,93
1712625973227296500,475.92529663085935,96
1712625978227296300,480.92529614257813,100
1712625981227296300,483.92529614257813,102
1712625984227296300,486.92529614257813,101
1712625992227296300,494.92529614257813,99
1712625994227296300,496.92529614257813,101
1712625999227296300,501.92529614257813,101
1712626007227296300,509.92529614257813,101
1712626011227296300,513.9252961425781,103
1712626017227296300,519.9252961425781,102
1712626023227296300,525.9252961425781,106
1712626026227296300,528.9252961425781,106
1712626029227296300,531.9252961425781,108
1712626034227296300,536.9252961425781,109
1712626040227296300,542.9252961425781,110
1712626046227296500,548.9252966308594,113
1712626053227296300,555.9252961425781,113
1712626055227296500,557.9252966308594,111
1712626059227296300,561.9252961425781,111
1712626068227296500,570.9252966308594,106
1712626069227296300,571.9252961425781,106
1712626078227296300,580.9252961425781,102
1712626082227296300,584.9252961425781,101
1712626088227296300,590.9252961425781,105
1712626092227296300,594.9252961425781,102
1712626094227296300,596.9252961425781,102
1712626099227296500,601.9252966308594,100
1712626104227296300,606.9252961425781,100
1712626109227296300,611.9252961425781,100
1712626115227296300,617.9252961425781,101
1712626122227296500,624.9252966308594,101
1712626128227296500,630.9252966308594,99
1712626129227296300,631.9252961425781,99
1712626135227296300,637.9252961425781,100
1712626139227296500,641.9252966308594,102
1712626147227296300,649.9252961425781,103
1712626151227296300,653.9252961425781,104
1712626154227296300,656.9252961425781,104
1712626163227296300,665.9252961425781,102
1712626168227296300,670.9252961425781,103
1712626169227296300,671.9252961425781,104
1712626178227296300,680.9252961425781,100
1712626179227296300,681.9252961425781,98
1712626184227296300,686.9252961425781,97
1712626189227296300,691.9252961425781,96
1712626195227296300,697.9252961425781,95
1712626203227296300,705.9252961425781,97
1712626208227296300,710.9252961425781,92.00000000000001
1712626210227296300,712.9252961425781,91
1712626214227296300,716.9252961425781,95
1712626219227296300,721.9252961425781,92.00000000000001
1712626227227296300,729.9252961425781,88
1712626229227296300,731.9252961425781,88
1712626238227296300,740.9252961425781,91
1712626243227296300,745.9252961425781,91
1712626245227296300,747.9252961425781,90
1712626253227296300,755.9252961425781,88
1712626254227296300,756.9252961425781,88
1712626263227296300,765.9252961425781,83
1712626264227296300,766.9252961425781,83
1712626269227296300,771.9252961425781,84
1712626274227296300,776.9252961425781,87
1712626279227296500,781.9252966308594,87
1712626288227296300,790.9252961425781,79
1712626290227296300,792.9252961425781,78
1712626296227296300,798.9252961425781,79
1712626303227296500,805.9252966308594,88
1712626304227296300,806.9252961425781,88
1712626313227296500,815.9252966308594,84
1712626314227296300,816.9252961425781,85
1712626323227296300,825.9252961425781,86
1712626328227296300,830.9252961425781,92.00000000000001
1712626333227296300,835.9252961425781,92.00000000000001
1712626334227296300,836.9252961425781,92.00000000000001
1712626343227296300,845.9252961425781,88
1712626346227296300,848.9252961425781,87
1712626353227296300,855.9252961425781,91
1712626358227296300,860.9252961425781,88
1712626359227296300,861.9252961425781,88
1712626364227296300,866.9252961425781,89
1712626373227296300,875.9252961425781,90
1712626378227296300,880.9252961425781,89
1712626380227296300,882.9252961425781,87
1712626384227296300,886.9252961425781,86
1712626392227296300,894.9252961425781,87
1712626394227296300,896.9252961425781,88
1712626403227296300,905.9252961425781,90
1712626404227296500,906.9252966308594,91
1712626413227296300,915.9252961425781,87
1712626417227296300,919.9252961425781,91
1712626419227296300,921.9252961425781,92.00000000000001
1712626428227296300,930.9252961425781,87
1712626433227296500,935.9252966308594,86
1712626437227296300,939.9252961425781,85
1712626442227296300,944.9252961425781,86
1712626444227296300,946.9252961425781,87
1712626453227296300,955.9252961425781,88
1712626458227296300,960.9252961425781,85
1712626463227296300,965.9252961425781,94
1712626467227296300,969.9252961425781,94
1712626472227296300,974.9252961425781,95
1712626476227296300,978.9252961425781,97
1712626479227296300,981.9252961425781,95
1712626488227296300,990.9252961425781,84
1712626492227296500,994.9252966308594,85
1712626498227296500,1000.9252966308594,88
1712626501227296300,1003.9252961425781,88
1712626504227296500,1006.9252966308594,88
1712626509227296300,1011.9252961425781,86
1712626518227296300,1020.9252961425781,99
1712626521227296300,1023.9252961425781,100
1712626524227296300,1026.9252961425782,97
1712626533227296300,1035.9252961425782,98
1712626535227296300,1037.9252961425782,99
1712626539227296300,1041.9252961425782,101
1712626548227296300,1050.9252961425782,105
1712626549227296300,1051.9252961425782,105
1712626554227296500,1056.9252966308593,102
1712626559227296500,1061.9252966308593,103
1712626567227296500,1069.9252966308593,101
1712626569227296300,1071.9252961425782,101
1712626578227296300,1080.9252961425782,91
1712626580227296300,1082.9252961425782,92.00000000000001
1712626587227296300,1089.9252961425782,100
1712626589227296300,1091.9252961425782,102
1712626594227296300,1096.9252961425782,107.00000000000001
1712626599227296300,1101.9252961425782,106
1712626608227296300,1110.9252961425782,98
1712626613227296300,1115.9252961425782,97
1712626614227296300,1116.9252961425782,98
1712626622227296300,1124.9252961425782,103
1712626625227296300,1127.9252961425782,101
1712626629227296300,1131.9252961425782,106
1712626638227296300,1140.9252961425782,96
1712626640227296300,1142.9252961425782,94
1712626645227296300,1147.9252961425782,103
1712626652227296300,1154.9252961425782,103
1712626654227296300,1156.9252961425782,104
1712626663227296300,1165.9252961425782,102
