Feature,Importance
0,0.12029252199885854
1,0.09656887596616666
2,0.054591691799973384
3,0.021949763782753783
4,0.030433002112839974
5,0.05400955880714378
6,0.06734317959358149
7,0.02876330265470761
8,0.03208096480383718
9,0.012471737854494664
10,0.028183307679681673
11,0.01433982412383249
12,0.018301276656403628
13,0.013929694652755432
14,0.01636350321125121
15,0.016425325175432583
16,0.015884050190193483
17,0.026948227789053588
18,0.023861986413282146
19,0.017948462447801173
20,0.01713804040710208
21,0.02291865600736427
22,0.016327496550523422
23,0.01674522801842276
24,0.01931324155213673
25,0.0184449798466972
26,0.017298211453097265
27,0.012332501458054033
28,0.018441891222651708
29,0.011762016736193901
30,0.017339719144656027
31,0.011739787448761245
32,0.011494804919619715
33,0.012478246918027071
34,0.010118238371295187
35,0.013867717691189798
36,0.013090031108116953
37,0.011267416171074868
38,0.010400191905027301
39,0.006791325355943943
